1541217101683, Voiculescu, Alexandru, male, 1976
1731231178446, Danciu, Claudiu, male, 1997
1520102139427, Macovei, Sergiu, male, 1977
1791001253997, Manole, Raul, male, 2000
2760513176542, Pop, Simina, female, 1997
1791221160721, Filipoaie, Alexandru, male, 2004
1900305093460, Opris, Raul, male, 2008
2690714332442, Fulga, Florina, female, 1995
1520122066613, Toderas, Alexandru, male, 1971
1641102178897, Grigorescu, Matei, male, 1991
2710322248516, Danciu, Izabela, female, 1993
2790321098735, Sabau, Maria, female, 2006
2940708047148, Craciun, Simina, female, 2019
1991201304616, Sabau, Vlad, male, 2026
2590320272037, Zarnescu, Alexandra, female, 1983
2500728033096, Pacuraru, Maria, female, 1971
2541102145271, Macovei, Ada, female, 1976
2601114240917, Toderas, Alexandra, female, 1985
1611221051635, Ionita, Horia, male, 1979
1641117117838, Grigorescu, David, male, 1982
1950725260150, Badea, Albert, male, 2020
1500707225683, Pacuraru, Vlad, male, 1977
1650407129695, Zarnescu, David, male, 1988
2950622391400, Voiculescu, Anda, female, 2013
1671217149935, Lazar, Vlad, male, 1985
2540219266167, Grigorescu, Anda, female, 1972
2901120272235, Craciun, Zenobia, female, 2015
2710415380053, Hosu, Alexandra, female, 1993
2970121153142, Grigorescu, Adriana, female, 2023
1721004299447, Macovei, Codrut, male, 1995
2940925326985, Pop, Florina, female, 2016
1771209226695, Craciun, David, male, 1997
2970306214098, Hosu, Dora, female, 2022
1670502526521, Ene, Paul, male, 1989
1840926376847, Fulga, Sergiu, male, 2003
1940709203681, Hetco, Sergiu, male, 2019
2790516307039, Herlea, Simina, female, 1998
1570328527166, Sabau, Paul, male, 1982
2520110067548, Macovei, Izabela, female, 1974
1970625352872, Ene, Matei, male, 2017
2831113390576, Craciun, Alexandra, female, 2007
1860220242941, Munteanu, Matei, male, 2005
2760915069901, Badea, Ioana, female, 2002
1510108282268, Baciu, Horia, male, 1970
2610611137785, Mureseanu, Ada, female, 1988
1780630023845, Mureseanu, Claudiu, male, 1996
2690301361467, Baciu, Alexandra, female, 1988
1900924138688, Badea, Cornel, male, 2010
2940807208419, Neagu, Izabela, female, 2012
1820411103611, Pop, Cornel, male, 2003
1910327314167, Danciu, Robert, male, 2012
1580919395754, Baciu, Paul, male, 1981
2780827382305, Medeleanu, Anda, female, 2001
2820319369869, Dogaru, Elena, female, 2007
2640607175877, Danciu, Nicoleta, female, 1987
2860821299811, Hosu, Ingrid, female, 2013
1880325067890, Munteanu, David, male, 2012
1800731094494, Grigorescu, Stefan, male, 2001
1590807024758, Opris, Claudiu, male, 1985
1750223343097, Manole, Andrei, male, 1998
2710517023651, Badea, Anda, female, 1995
1650324243826, Baciu, Mihai, male, 1992
2700704041018, Ene, Elena, female, 1991
1950907525795, Macovei, Claudiu, male, 2016
2540816067642, Dogaru, Alexandra, female, 1973
1701127205980, Baciu, Stefan, male, 1990
1750501033154, Baciu, David, male, 1994
2740614515584, Sabau, Andreea, female, 2000
1991103076001, Badea, Codrut, male, 2023
1530825370701, Dogaru, Matei, male, 1972
1850425199061, Munteanu, Raul, male, 2011
1521211529812, Manole, Albert, male, 1971
2730718286444, Danciu, Izabela, female, 1995
2661025056495, Voiculescu, Nicoleta, female, 1984
2741015018045, Herlea, Flavia, female, 1998
1610209144567, Grigorescu, Andrei, male, 1980
1770307059210, Sabau, Vlad, male, 1996
2661222047476, Gruia, Mihaela, female, 1993
1750313334640, Toderas, David, male, 1994
2600727070818, Dragulescu, Nicoleta, female, 1987
2680711288803, Craciun, Anca, female, 1995
2810303342647, Nastase, Ingrid, female, 2004
1831203525674, Ene, Doru, male, 2001
2511222049402, Pacuraru, Nicoleta, female, 1971
2990811057234, Macovei, Elena, female, 2026
1740608163729, Neagu, Sergiu, male, 1997
1750713131279, Mureseanu, Ciprian, male, 1996
2840314083931, Nastase, Alexandra, female, 2004
2570801223144, Dragulescu, Maria, female, 1979
2810715146784, Danciu, Anda, female, 2004
2741002175094, Badea, Ingrid, female, 1999
1910420337955, Dogaru, Stefan, male, 2017
2870228307346, Hosu, Otlia, female, 2012
2830822154008, Voiculescu, Dora, female, 2010
2680406035833, Hosu, Otlia, female, 1988
2911214054942, Hetco, Ada, female, 2012
2910305345629, Nastase, Alexandra, female, 2011
1931003525067, Gliga, Mihai, male, 2013
2800122237127, Gliga, Elena, female, 2006
2950426015682, Grigorescu, Izabela, female, 2015
1940615363576, Pop, Andrei, male, 2016
2740107071051, Sabau, Simina, female, 1994
1900807036117, Gruia, Codrut, male, 2012
1961207525772, Nicoara, Ciprian, male, 2020
1900223207101, Mureseanu, Horia, male, 2011
1920917293899, Neagu, Horia, male, 2014
1741102201944, Filipoaie, Cosmin, male, 1994
2650616176541, Gruia, Otlia, female, 1984
2830709199797, Gliga, Izabela, female, 2009
1971211298281, Danciu, Sergiu, male, 2021
1841126391598, Gruia, Cosmin, male, 2004
1900518296248, Pop, Doru, male, 2010
1720416017582, Neagu, Codrut, male, 1996
1880326058533, Macovei, Ciprian, male, 2012
2980702109861, Grigorescu, Dora, female, 2023
1580207138719, Mureseanu, Matei, male, 1978
1810909054541, Badea, Cosmin, male, 2006
2720823226941, Fulga, Elena, female, 1998
2660417020726, Medeleanu, Ada, female, 1990
1851003517458, Zarnescu, Albert, male, 2006
1600115053727, Dogaru, Mihai, male, 1986
2660208073931, Munteanu, Zenobia, female, 1990
2710101091098, Zarnescu, Maria, female, 1993
2891017024094, Craciun, Ada, female, 2013
1910928255073, Baciu, Sergiu, male, 2011
2691231073270, Filipoaie, Izabela, female, 1993
1960322529096, Dogaru, Albert, male, 2023
2780810323476, Craciun, Anda, female, 2003
1521204024890, Opris, Vlad, male, 1974
2770109042397, Dogaru, Simina, female, 1999
2890626265462, Macovei, Anda, female, 2009
1721104379184, Grigorescu, Horia, male, 1998
2510122196496, Ene, Izabela, female, 1976
1960219133463, Stanciu, Matei, male, 2018
2971202038067, Danciu, Anca, female, 2023
1620506238313, Zarnescu, Matei, male, 1985
2610404095244, Lazar, Maria, female, 1981
2850913196419, Voiculescu, Ada, female, 2007
2640523312944, Dragulescu, Ada, female, 1987
1690224176757, Hetco, Horia, male, 1993
2511005187982, Mureseanu, Andreea, female, 1978
1940503042543, Mureseanu, David, male, 2014
1830803106311, Dragulescu, Matei, male, 2008
1520511363836, Pacuraru, Sergiu, male, 1973
2770515117329, Sabau, Ioana, female, 2001
1640226071004, Sabau, Stefan, male, 1985
2590101084057, Neagu, Dora, female, 1985
2620630210871, Macovei, Elena, female, 1981
1631016305420, Dogaru, Codrut, male, 1987
1741204298058, Ionita, Stefan, male, 1997
1730612348625, Mureseanu, Robert, male, 1995
1510407369598, Mureseanu, Raul, male, 1978
1630121153245, Herlea, Cosmin, male, 1981
1770309512844, Gruia, Doru, male, 1995
1950322170492, Manole, Stefan, male, 2014
2580323118672, Neagu, Ada, female, 1984
2960128154683, Voiculescu, Anda, female, 2019
1620824109060, Hosu, Horia, male, 1981
1921103155541, Hosu, Ciprian, male, 2016
1910801511541, Stanciu, Vlad, male, 2018
2690519330501, Munteanu, Anda, female, 1989
1510228074072, Hosu, Doru, male, 1976
1620902315804, Grigorescu, David, male, 1982
1860415097915, Ionita, Codrut, male, 2011
1510218354850, Pop, Alexandru, male, 1973
2950604280395, Craciun, Anda, female, 2021
1840624291191, Neagu, Sergiu, male, 2011
2880703281146, Gliga, Dora, female, 2013
1910912328919, Pacuraru, Stefan, male, 2010
1730807146073, Macovei, Raul, male, 1997
1930430521905, Toderas, Robert, male, 2018
2530517122548, Gliga, Andreea, female, 1979
1711120095572, Munteanu, Mihai, male, 1995
1860410113844, Nastase, Sergiu, male, 2005
2861010012131, Gliga, Anda, female, 2009
2950105231399, Nicoara, Florina, female, 2016
1801126326049, Ene, Horia, male, 2005
1770226311621, Hosu, Paul, male, 1999
1681109094694, Lazar, Vlad, male, 1989
1761003333357, Fulga, Sergiu, male, 2002
2770819063531, Baciu, Anca, female, 1995
1780306335803, Gliga, Albert, male, 1999
2581021195257, Pop, Natalia, female, 1980
1761002040554, Zarnescu, Cornel, male, 2001
1971102137175, Voiculescu, Paul, male, 2024
1960901073361, Manole, David, male, 2016
2990510391425, Baciu, Ingrid, female, 2021
2560627287192, Zarnescu, Maria, female, 1982
1600407172115, Toderas, Cosmin, male, 1987
2611026079607, Herlea, Florina, female, 1985
2950215139725, Zarnescu, Anda, female, 2021
1960322024037, Nastase, Doru, male, 2020
1711108307775, Badea, Vlad, male, 1993
2930420347504, Ionita, Ingrid, female, 2013
2540320328491, Dragulescu, Adriana, female, 1981
2721123194465, Zarnescu, Ada, female, 1999
2710724203173, Gruia, Ioana, female, 1995
2530522129580, Gruia, Ada, female, 1979
2840309356276, Pop, Alexandra, female, 2010
2610311188532, Hetco, Elena, female, 1979
1960406387941, Munteanu, Albert, male, 2023
1800509346677, Baciu, Stefan, male, 2001
2851001237287, Danciu, Otlia, female, 2010
1720506266353, Gliga, Vlad, male, 1992
2771114189017, Toderas, Alexandra, female, 2002
1590919373124, Craciun, Raul, male, 1985
2541012177831, Badea, Elena, female, 1975
1610316290022, Medeleanu, Paul, male, 1982
1690207112812, Voiculescu, Horia, male, 1988
1770911147293, Baciu, David, male, 2004
1930808100210, Hosu, Albert, male, 2012
1930421190758, Dragulescu, Doru, male, 2012
2560202324833, Gruia, Anca, female, 1982
2980923280129, Nastase, Flavia, female, 2020
2940728162335, Fulga, Elena, female, 2012
1500615010424, Craciun, Cornel, male, 1972
2660512035309, Filipoaie, Florina, female, 1990
2610110071532, Zarnescu, Mihaela, female, 1980
2921202236718, Opris, Maria, female, 2010
2660327027013, Nastase, Alexandra, female, 1993
1831020131706, Fulga, Codrut, male, 2009
2590103310539, Zarnescu, Ingrid, female, 1976
1621217332575, Craciun, Cosmin, male, 1980
2690214246510, Toderas, Otlia, female, 1992
2890127173389, Voiculescu, Maria, female, 2015
2680820224732, Baciu, Ada, female, 1986
1560305093210, Opris, Stefan, male, 1980
1910314342113, Baciu, Sergiu, male, 2011
2630424371484, Dragulescu, Natalia, female, 1987
1871026512528, Grigorescu, Claudiu, male, 2008
2810713150451, Dogaru, Ingrid, female, 2007
2750327168344, Sabau, Alexandra, female, 1997
2691018364708, Toderas, Zenobia, female, 1987
2900319391939, Nicoara, Andreea, female, 2015
1941023152063, Craciun, Albert, male, 2012
2690807142033, Ionita, Dora, female, 1992
2811218212761, Hosu, Ada, female, 2003
2830323171932, Macovei, Maria, female, 2001
1740601154373, Ene, Cosmin, male, 1999
2861212245641, Pop, Florina, female, 2013
2711003147489, Craciun, Andreea, female, 1991
2810718153265, Ene, Andreea, female, 2007
1871025106097, Stanciu, Mihai, male, 2012
2930819104108, Pop, Natalia, female, 2019
1790318385163, Danciu, Cosmin, male, 2002
2920913379681, Hosu, Simina, female, 2012
1810226165570, Pop, Horia, male, 2002
1620303335922, Grigorescu, Raul, male, 1982
2961218265583, Manole, Florina, female, 2018
1960303019751, Stanciu, Paul, male, 2017
2850721086719, Badea, Anca, female, 2005
2620719152411, Grigorescu, Elena, female, 1985
1971123322392, Badea, Stefan, male, 2016
2891107088645, Sabau, Mihaela, female, 2016
1590817250365, Ene, Horia, male, 1984
1970222097194, Gruia, Horia, male, 2019
1990924245791, Dragulescu, Codrut, male, 2023
2841015305711, Hetco, Otlia, female, 2006
1670211041931, Grigorescu, David, male, 1994
2841111327955, Dogaru, Maria, female, 2004
2810827147135, Lazar, Ada, female, 2005
2711003332854, Dragulescu, Flavia, female, 1998
2910807389561, Neagu, Izabela, female, 2017
1510114227071, Gliga, Andrei, male, 1969
1850114015041, Nicoara, Alexandru, male, 2010
1540215342736, Gruia, Paul, male, 1979
1610427185847, Nastase, Stefan, male, 1982
1911017054378, Nastase, Doru, male, 2014
2680408048576, Filipoaie, Dora, female, 1994
1630121220719, Toderas, Robert, male, 1985
1980809271143, Dragulescu, Horia, male, 2018
2830109059281, Dogaru, Andreea, female, 2003
1750618059598, Hosu, David, male, 1996
2530619192433, Dragulescu, Natalia, female, 1972
1620521191346, Danciu, Mihai, male, 1989
2690302243410, Medeleanu, Anda, female, 1991
2741212310685, Nastase, Elena, female, 1998
2560707034687, Hosu, Ingrid, female, 1974
1750104050260, Lazar, Ciprian, male, 1997
1611218212011, Mureseanu, Doru, male, 1987
1690924383875, Toderas, Cosmin, male, 1996
2961022365774, Lazar, Anda, female, 2015
2800721397570, Zarnescu, Ada, female, 1998
1900403193092, Manole, Paul, male, 2009
1760615150147, Ionita, Horia, male, 1999
1761201099941, Badea, Cosmin, male, 1995
2541220288481, Herlea, Flavia, female, 1979
2971123391357, Gruia, Maria, female, 2023
1900117357727, Ene, Cornel, male, 2010
2700928117776, Herlea, Andreea, female, 1988
1620710223788, Fulga, Claudiu, male, 1982
1831021212050, Danciu, David, male, 2005
1691218340133, Sabau, Stefan, male, 1994
2810618138661, Grigorescu, Izabela, female, 2005
2730603062219, Zarnescu, Andreea, female, 1999
2890310112024, Dragulescu, Ingrid, female, 2009
1810102013469, Nicoara, Albert, male, 2006
1651217011357, Dogaru, Doru, male, 1984
1940702085199, Voiculescu, Claudiu, male, 2016
2901007012560, Danciu, Maria, female, 2010
1850910308237, Sabau, Codrut, male, 2007
1870815245696, Voiculescu, Codrut, male, 2007
1610228283176, Herlea, David, male, 1982
2740827189061, Filipoaie, Zenobia, female, 1995
2890604308797, Gruia, Andreea, female, 2015
1620320015812, Gliga, Albert, male, 1986
2720828513961, Opris, Anca, female, 1990
2770318331697, Badea, Andreea, female, 1999
2510415516491, Stanciu, Otlia, female, 1977
1540406275689, Badea, Cornel, male, 1976
1920801342634, Toderas, Stefan, male, 2011
2820405232060, Dogaru, Florina, female, 2002
2991025029952, Filipoaie, Alexandra, female, 2019
1930922137817, Gliga, Vlad, male, 2013
1790805275676, Filipoaie, Sergiu, male, 2002
2600912165028, Zarnescu, Andreea, female, 1985
1671102050522, Filipoaie, David, male, 1994
1960311309641, Stanciu, Horia, male, 2016
1891118266389, Ionita, Albert, male, 2012
1890318097770, Gliga, Ciprian, male, 2007
2940306193710, Lazar, Maria, female, 2019
2561125239821, Ene, Otlia, female, 1978
2520214132871, Dragulescu, Elena, female, 1975
1590916324328, Neagu, Raul, male, 1983
2590509084311, Filipoaie, Anda, female, 1980
1780902290793, Gliga, Andrei, male, 2002
1660816339793, Munteanu, Mihai, male, 1991
